id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness,speechiness
428,"Barravenida, Pt. 2",BaianaSystem,dub,aggressive,0.844,137.954,0.0822,0.532,0.18,0.000174,0.0869,0.104
429,Energy Drink,Virtual Riot,dub,aggressive,0.927,128.029,0.443,0.817,0.0477,0.0563,0.102,0.22
430,Live In The Sky - Steve Brian Remix,Tritonal;Eric Lumiere;Steve Brian,dub,aggressive,0.785,126.039,0.175,0.582,0.00252,0.344,0.351,0.0373
431,Money In My Pocket Version,Joe Gibbs,dub,excited,0.522,152.34,0.893,0.761,0.0366,0.938,0.123,0.0845
432,Chase The Devil,Max Romeo;The Upsetters,dub,excited,0.62,150.243,0.744,0.825,0.183,0.0,0.0822,0.211
433,Good Things Fall Apart (with Jon Bellion) [SLANDER Remix],ILLENIUM;Jon Bellion;SLANDER,dub,moody,0.42,147.389,0.0557,0.343,0.0292,0.00075,0.253,0.0434
434,Freesol,Seven Lions;Skyler Stonestreet,dub,fiery,0.727,74.827,0.424,0.443,0.0987,9.35e-06,0.118,0.0984
435,Some Day,Misael Gauna;Noctilucent,dub,intense,0.54,139.978,0.149,0.61,0.0635,0.00592,0.0788,0.0325
436,Be There,Krewella,dubstep,fiery,0.729,144.994,0.318,0.583,0.0909,2.02e-05,0.367,0.0314
437,Fractures (Trivecta Remix),ILLENIUM;Nevve;Trivecta,dubstep,aggressive,0.852,160.02,0.198,0.47,0.0119,0.00232,0.128,0.237
438,HEAVE,MARAUDA;Scarlxrd,dubstep,aggressive,0.99,132.495,0.129,0.393,0.0134,0.276,0.386,0.342
439,Henny - VIP,STUCA,dubstep,aggressive,0.985,105.005,0.179,0.597,0.0502,0.462,0.138,0.169
440,Ofa Mai,DJ Noiz;Konecs;Vili Langi,dubstep,excited,0.78,106.009,0.695,0.872,0.0712,0.0,0.0643,0.068
441,Skins,Kai Wachi;YMIR,dubstep,intense,0.562,139.997,0.206,0.523,0.0405,6.72e-05,0.15,0.0445
442,Broken Pieces,Dion Timmer;Excision;Monika Santucci,dubstep,aggressive,0.935,102.065,0.155,0.527,0.0158,3.01e-06,0.089,0.0429
443,Blood (with Foy Vance),ILLENIUM;Foy Vance,dubstep,aggressive,0.896,75.192,0.1,0.358,0.083,0.0014,0.372,0.159
444,Ofa Mai Og,DJ Noiz;Konecs;Tashay,dubstep,excited,0.697,102.008,0.739,0.877,0.113,0.0,0.0549,0.0345
445,When This Is Over,Dabin;NURKO;Donovan Woods,dubstep,fiery,0.639,129.976,0.435,0.609,0.0193,6.29e-06,0.0623,0.0297
446,Mueve y Sacude,Compa;Zapata El Fido,dubstep,happy,0.899,114.109,0.917,0.515,0.298,0.000844,0.0653,0.204
447,U & Me - Lemaitre Remix,ILLENIUM;Sasha Alex Sloan;Lemaitre,dubstep,intense,0.604,87.966,0.0889,0.552,0.00524,8.95e-06,0.0747,0.0368
448,Pantheon - Evilnoiz Remix,Dirtyphonics;Ecraze;Evilnoiz,dubstep,aggressive,0.979,144.774,0.18,0.48,0.0854,0.000298,0.267,0.166
449,re-collide,GhostDragon;Daye,dubstep,intense,0.67,145.031,0.238,0.486,0.0245,0.000175,0.576,0.0417
450,Kaleidoscope (Feat. Crystalline),Champagne Drip;Crystalline,dubstep,intense,0.685,127.991,0.122,0.613,0.00701,0.00543,0.0907,0.0408
451,Lovers on the Sun (feat. Sam Martin),David Guetta;Sam Martin,edm,energetic,0.891,124.915,0.568,0.645,0.0932,3.88e-06,0.379,0.0387
452,Turn Down for What,DJ Snake;Lil Jon,edm,aggressive,0.799,100.014,0.0815,0.818,0.00107,0.128,0.057,0.156
453,Pukaar,Ritviz,edm,chill,0.476,106.891,0.593,0.534,0.0337,0.0,0.629,0.0325
454,BED,Joel Corry;RAYE;David Guetta,edm,energetic,0.782,123.989,0.618,0.671,0.0142,0.00221,0.333,0.0341
455,Something,Martin Garrix;Breathe Carolina,edm,aggressive,0.939,127.992,0.152,0.556,0.00245,0.915,0.121,0.039
456,Rockabye,Clean Bandit;Sean Paul;Anne-Marie,edm,happy,0.759,101.943,0.765,0.724,0.411,0.0,0.437,0.0544
457,Push My Luck,The Chainsmokers,edm,energetic,0.645,89.976,0.523,0.563,0.293,0.0,0.202,0.0428
458,Jeet 2.0,Ritviz,edm,chill,0.44,99.056,0.834,0.685,0.415,0.0,0.439,0.0508
459,Sun Will Shine,Robin Schulz;Tom Walker,edm,fiery,0.714,125.99,0.415,0.534,0.00633,0.0,0.0879,0.0629
460,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,edm,intense,0.659,189.558,0.272,0.258,0.253,0.0,0.111,0.0596
461,Passion,twocolors,edm,aggressive,0.756,123.033,0.413,0.695,0.0449,0.000174,0.298,0.0423
462,Don’t Go (with Justin Bieber & Don Toliver),Skrillex;Justin Bieber;Don Toliver,edm,fiery,0.695,75.05,0.359,0.689,0.019,0.0,0.123,0.0429
463,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,edm,energetic,0.876,129.884,0.552,0.666,0.055,0.0,0.259,0.0414
464,Aurora,K-391;RØRY,edm,intense,0.689,143.804,0.176,0.498,0.0784,0.0,0.188,0.0772
465,The Motto,Tiësto;Ava Max,edm,aggressive,0.763,117.953,0.464,0.754,0.0301,2.23e-05,0.0901,0.0435
466,I Love U,The Chainsmokers,electro,happy,0.719,103.981,0.81,0.651,0.143,3.62e-05,0.0948,0.0318
467,Santa Baby,Kylie Minogue,electro,melancholy,0.391,87.101,0.443,0.685,0.744,0.0,0.142,0.0435
468,Let Me Love You,DJ Snake;Justin Bieber,electro,intense,0.715,199.892,0.159,0.475,0.0863,2.67e-05,0.135,0.058
469,Heaven,Bazzi,electro,excited,0.575,114.986,0.683,0.798,0.14,3.62e-06,0.056,0.035
470,Shine,Years & Years,electro,fiery,0.717,108.006,0.495,0.667,0.193,0.0,0.104,0.0349
471,Bubblegum Bitch,MARINA,electro,energetic,0.856,158.024,0.609,0.495,0.000219,0.0,0.103,0.0311
472,Paris,The Chainsmokers,electro,intense,0.644,99.999,0.251,0.646,0.0243,0.0,0.0888,0.031
473,Play,Jax Jones;Years & Years,electro,excited,0.815,125.052,0.597,0.759,0.0127,0.0,0.269,0.0428
474,Make It To Christmas,Alessia Cara,electro,fiery,0.522,77.054,0.305,0.535,0.131,0.0,0.438,0.0363
475,Cake,Melanie Martinez,electro,intense,0.655,156.992,0.29,0.518,0.381,0.0,0.271,0.0826
476,Summer Feeling,Matoma;Jonah Kagen,electro,energetic,0.702,124.924,0.539,0.651,0.0256,4.87e-05,0.129,0.0876
477,Locura,Cali Y El Dandee;Sebastian Yatra,electro,excited,0.778,92.983,0.532,0.758,0.0806,0.0,0.198,0.0657
478,World Hold On - FISHER Rework,Bob Sinclar;FISHER;Steve Edwards,electro,excited,0.883,127.008,0.895,0.771,0.00596,0.00607,0.135,0.0584
479,Drüg,Lucky Luke;Emie,electro,moody,0.496,124.987,0.0569,0.685,0.314,0.804,0.138,0.238
480,Miss You a Little,Bryce Vine;lovelytheband,electro,energetic,0.886,140.888,0.589,0.636,0.347,0.0,0.171,0.0433
481,Shots & Squats,Vigiland;Tham Sway,electronic,aggressive,0.812,128.012,0.242,0.807,0.00773,0.000501,0.236,0.106
482,Tankwa Town,Oliver Koletzki,electronic,moody,0.401,100.008,0.0543,0.736,0.102,0.293,0.0938,0.0476
483,Tacken,Modeselektor,electronic,intense,0.533,103.027,0.176,0.64,0.0867,0.24,0.17,0.0417
484,Kalyan,Multani,electronic,moody,0.414,125.0,0.498,0.763,0.0829,0.637,0.0552,0.0845
485,Coming Back (feat. SZA),James Blake;SZA,electronic,melancholy,0.496,86.013,0.102,0.653,0.625,0.274,0.151,0.0868
486,Hey Boy Hey Girl,The Chemical Brothers,electronic,aggressive,0.92,127.001,0.363,0.632,0.119,0.508,0.114,0.0531
487,Motivation,22 Void Beats;Sneaky Ollie;Milano The Don,electronic,aggressive,0.95,149.883,0.312,0.469,0.0264,0.00453,0.19,0.443
488,Loss Of Hope,Innellea,electronic,aggressive,0.927,122.998,0.113,0.682,0.133,0.842,0.0918,0.0373
489,Strobe,deadmau5,electronic,intense,0.524,128.02,0.0365,0.436,0.00947,0.901,0.114,0.038
490,Overnight,HXE,electronic,moody,0.474,158.121,0.476,0.812,0.168,4.89e-05,0.182,0.36
491,Trap Anthem,Yellow Claw,electronic,energetic,0.977,150.067,0.65,0.618,0.00809,0.643,0.303,0.216
492,Disco Maghreb,DJ Snake,electronic,aggressive,0.923,99.961,0.45,0.655,0.0581,0.00259,0.382,0.216
493,Guachita,Tunacola,electronic,fiery,0.655,73.825,0.376,0.418,0.518,2.08e-05,0.0834,0.0523
494,Sapana,Sahalé,electronic,fiery,0.521,110.025,0.431,0.823,0.73,0.823,0.119,0.0361
495,Sexy Boy,Air,electronic,intense,0.652,111.888,0.211,0.437,0.0011,0.614,0.111,0.0288
496,OMFG,Lil Peep,emo,fiery,0.702,146.122,0.458,0.576,0.24,1.82e-06,0.114,0.0534
497,Fração de Segundo - Versão Acústica,NX Zero,emo,energetic,0.576,87.085,0.584,0.559,0.326,0.0,0.0998,0.028
498,"Ilusión, Oh ilusión",PXNDX,emo,fiery,0.622,147.943,0.429,0.345,0.0272,0.000155,0.0942,0.0293
499,UsedCar,surrenderdorothy,emo,moody,0.408,115.035,0.429,0.568,0.219,0.00508,0.135,0.0345
500,Hear You Me,Jimmy Eat World,emo,intense,0.517,136.176,0.137,0.465,0.00854,0.0403,0.209,0.0284
501,PERCAYA,Damero.;Tuantigabelas,emo,excited,0.569,135.022,0.614,0.837,0.751,0.0,0.131,0.16
502,the song they played (when i crashed into the wall),Lil Peep;Lil Tracy,emo,energetic,0.829,144.892,0.602,0.528,0.0227,0.0,0.182,0.101
503,RepeatInfinite,surrenderdorothy,emo,sad,0.245,80.278,0.179,0.6,0.245,0.596,0.117,0.0342
504,go if you want to,iamjakehill,emo,energetic,0.57,92.987,0.569,0.685,0.13,0.0,0.431,0.0752
505,#ImSippinTeaInYoHood,XXXTENTACION,emo,aggressive,0.873,146.006,0.455,0.668,0.0967,0.000275,0.239,0.215
506,Sarcoma,Killstation,emo,moody,0.375,86.94,0.459,0.547,0.146,0.0,0.58,0.0304
507,King,XXXTENTACION,emo,sad,0.154,99.886,0.0949,0.421,0.102,0.00692,0.207,0.0319
508,Lilli,Totally Nothin,emo,moody,0.371,117.04,0.165,0.688,0.115,1.04e-06,0.347,0.0767
509,Black Butterflies and Déjà Vu,The Maine,emo,energetic,0.945,167.95,0.504,0.452,0.0373,4e-05,0.22,0.103
510,Tu che ne sai (feat. Zoda),NASKA;Zoda,emo,fiery,0.63,160.007,0.313,0.504,0.0748,0.0,0.35,0.0655
511,Sanu Ek Pal Chain,Nusrat Fateh Ali Khan,folk,energetic,0.731,147.97,0.641,0.509,0.451,0.00389,0.411,0.0397
512,I Heard The Bells On Christmas Day,The Civil Wars,folk,melancholy,0.145,90.078,0.218,0.492,0.872,9.68e-06,0.107,0.0422
513,"Welcome Home, Son",Radical Face,folk,melancholy,0.497,144.972,0.401,0.587,0.723,0.782,0.142,0.0307
514,Fast Car,Tracy Chapman,folk,sad,0.292,103.951,0.194,0.711,0.313,0.0,0.131,0.037
515,Everyday,Buddy Holly;The Crickets,folk,tender,0.255,135.346,0.564,0.731,0.485,0.0,0.09,0.0375
516,Full Time Lover,Prateek Kuhad,folk,melancholy,0.254,187.857,0.251,0.541,0.929,0.000325,0.101,0.0387
517,The Night,The Moody Blues,folk,moody,0.42,45.857,0.185,0.132,0.209,0.00293,0.11,0.0368
518,Winter In My Heart,The Avett Brothers,folk,melancholy,0.198,132.782,0.14,0.409,0.751,0.000712,0.082,0.0293
519,Sword from the Stone,Passenger,folk,melancholy,0.457,79.942,0.447,0.618,0.594,4.86e-05,0.136,0.0352
520,Hallelujah,Leonard Cohen,folk,melancholy,0.344,171.143,0.232,0.28,0.715,0.00642,0.133,0.0293
521,Oración del Remanso,Nahuel Pennisi,folk,melancholy,0.166,105.855,0.253,0.537,0.837,0.0,0.109,0.0337
522,dois rios,ANAVITÓRIA,folk,melancholy,0.28,139.958,0.312,0.672,0.964,0.0157,0.0843,0.0286
523,Agg Paniyan Ch,Surinder Kaur,folk,happy,0.664,109.059,0.887,0.652,0.0676,0.0,0.344,0.062
524,Purple,Hollow Coves,folk,fiery,0.676,108.041,0.365,0.593,0.126,0.0803,0.091,0.026
525,Leave a Light On,Tom Walker,folk,intense,0.625,68.68,0.28,0.585,0.0146,1.8e-06,0.131,0.109
526,Reapaixonar,Gabriel Diniz,forro,happy,0.954,159.985,0.962,0.647,0.386,0.000268,0.526,0.0334
527,Amo Você Quero Te Ter - Ao Vivo,Solteirões do Forró,forro,happy,0.753,101.039,0.745,0.589,0.531,0.0,0.203,0.164
528,Pisadinha dos 600,Turma da Pisadinha;Anderson & Vei da Pisadinha,forro,happy,0.871,91.995,0.891,0.648,0.328,0.426,0.0454,0.0482
529,Você Sabe Dançar,Washington Brasileiro,forro,happy,0.967,119.995,0.769,0.744,0.0898,0.000887,0.304,0.0425
530,Cê Volta ou Não,Kiko Chicabana,forro,energetic,0.894,139.991,0.602,0.669,0.013,0.0,0.0998,0.0304
531,Eu Não Vou Mais Chorar - Ao Vivo,Dorgival Dantas,forro,energetic,0.919,172.489,0.536,0.443,0.475,0.00231,0.8,0.0734
532,Vai dar Caô,Paulo Pires,forro,happy,0.81,154.788,0.886,0.718,0.0729,0.0,0.053,0.0687
533,Chuva de Honestidade,Flavio Leandro,forro,happy,0.598,124.96,0.838,0.748,0.695,0.0,0.0826,0.03
534,Fantasias,Raquel dos Teclados,forro,excited,0.886,127.916,0.655,0.823,0.095,0.0,0.203,0.0391
535,História do Amor,Edson Lima e Gatinha Manhosa,forro,happy,0.892,169.401,0.736,0.492,0.0118,0.0,0.367,0.0906
536,Fantasias - Ao Vivo,Limão Com Mel,forro,peaceful,0.387,109.931,0.536,0.607,0.822,0.0,0.535,0.0301
537,Cabaré,Chicão dos Teclados,forro,happy,0.821,168.047,0.963,0.727,0.305,0.0,0.798,0.04
538,Cabeça Voando,Os Barões Da Pisadinha,forro,happy,0.833,172.024,0.963,0.658,0.385,1.17e-05,0.121,0.044
539,Véia Que Me Banca,Paulo Pires,forro,happy,0.793,157.815,0.898,0.747,0.213,0.0,0.267,0.0799
540,Tampão do Carro,Forró Boys,forro,happy,0.865,183.895,0.917,0.542,0.0394,0.0,0.206,0.0495
541,Roi,Videoclub,french,melancholy,0.467,107.993,0.29,0.704,0.559,0.00117,0.0947,0.0342
542,Superficiel et léger - Remasterisé en 2002,Michel Berger;France Gall,french,excited,0.726,112.918,0.923,0.764,0.231,0.00493,0.08,0.0293
543,Places,The Blaze,french,moody,0.448,99.994,0.0364,0.771,0.493,0.708,0.108,0.0446
544,Believe,TEEMID,french,intense,0.52,103.92,0.107,0.627,0.564,0.0254,0.0925,0.313
545,See You Later Alligator,Louise Attaque,french,energetic,0.691,124.487,0.628,0.744,0.158,0.14,0.136,0.0353
546,Interdit (Interlude),Josman,french,moody,0.421,95.021,0.409,0.896,0.132,1.53e-05,0.113,0.434
547,Ici Londres - Version Single,Axel Bauer,french,happy,0.7,94.8,0.704,0.498,0.0978,4.91e-06,0.155,0.0298
548,Je regrette,Ben Mazué,french,energetic,0.8,123.092,0.632,0.689,0.364,0.0,0.174,0.253
549,Kana diskan,Rasta Bigoud,french,excited,0.734,88.991,0.965,0.911,0.011,2.27e-06,0.0788,0.106
550,Fast Life,Captaine Roshi;Timal,french,energetic,0.68,155.048,0.59,0.749,0.377,0.0,0.12,0.276
551,Ce que tu ne sais pas,Axel Bauer,french,happy,0.878,113.948,0.704,0.601,0.000312,5.83e-05,0.0967,0.0386
552,Tout le monde est là,Mister Gang,french,excited,0.64,166.116,0.84,0.776,0.0296,1.74e-06,0.105,0.11
553,Smala,joysad,french,fiery,0.625,99.118,0.38,0.571,0.393,0.0,0.0625,0.124
554,Ambre,Else,french,aggressive,0.806,96.065,0.143,0.492,0.221,0.67,0.225,0.0427
555,Woke up in Bangkok,Deepend;YouNotUs;Martin Gallop,french,fiery,0.692,120.0,0.38,0.776,0.204,0.00114,0.165,0.039
556,Barulho da cama,Dj Viana;Dj Matheus Henrique,funk,excited,0.731,130.068,0.887,0.888,0.558,0.0,0.113,0.288
557,Fim de Nós 2,BIN;Azevedo;Mainstreet;Kizzy,funk,moody,0.467,119.842,0.486,0.582,0.183,0.0,0.0931,0.0367
558,Idolatria,Menor MC,funk,tender,0.301,127.933,0.568,0.731,0.25,0.0,0.119,0.546
559,Tippa My Tongue,Red Hot Chili Peppers,funk,happy,0.913,88.418,0.795,0.573,0.00861,0.0273,0.114,0.0409
560,Desce Pro Play (PA PA PA),ZAAC;Anitta;Tyga,funk,excited,0.711,100.009,0.631,0.935,0.077,1.84e-06,0.173,0.157
561,Soldado do Morro,MV Bill,funk,energetic,0.585,78.078,0.541,0.68,0.168,0.0,0.248,0.331
562,Malokeiro Vencedor,Mc Kanhoto;Dj Victor,funk,moody,0.441,160.09,0.433,0.747,0.45,0.0,0.0941,0.483
563,La Carta,NAFTA,funk,peaceful,0.337,130.016,0.664,0.797,0.535,0.0,0.114,0.0696
564,As Mais Braba,Tasha & Tracie;Ashira,funk,energetic,0.64,133.975,0.646,0.514,0.0393,1.12e-05,0.376,0.182
565,Someday At Christmas,Stevie Wonder,funk,intense,0.536,101.483,0.218,0.325,0.614,0.0,0.251,0.0323
566,Morena Cor do Pecado,MC Kevin o Chris;Dj Juninho 22,funk,tender,0.305,104.432,0.86,0.708,0.307,8.82e-06,0.12,0.841
567,What Christmas Means To Me,Stevie Wonder,funk,happy,0.614,82.229,0.751,0.524,0.202,0.0,0.0802,0.0363
568,Mansão Com as Bebê,GORDÃO DO PC;DJ 2K DO TAQUARIL;MC Garoto;MC MK DA ZL;Mc Leozin,funk,fiery,0.659,86.514,0.35,0.643,0.719,0.0423,0.101,0.416
569,Amor de Fone - Ao Vivo,Lucas Lucco;Guilherme & Benuto,funk,happy,0.684,155.803,0.673,0.691,0.246,0.0,0.722,0.199
570,Sai Pra Lá 2,Mc Kadu;Dj Victor,funk,peaceful,0.444,113.293,0.663,0.95,0.512,0.0,0.085,0.176
571,Brick By Brick,Arctic Monkeys,garage,energetic,0.807,132.206,0.542,0.285,0.00123,0.00368,0.317,0.0528
572,Bullshit,Dune Rats,garage,aggressive,0.967,139.002,0.419,0.499,9.19e-05,0.0,0.352,0.105
573,Hangin' at Caltex,Gee Tee,garage,aggressive,0.942,172.527,0.298,0.168,0.0641,0.969,0.328,0.0548
574,Tungs,The Frights,garage,energetic,0.618,106.337,0.5,0.565,0.0697,6.37e-05,0.509,0.104
575,Pretty Peggy,Wolfmother,garage,happy,0.818,171.964,0.668,0.425,0.00804,0.000207,0.267,0.0299
576,Tremmors,Meatbodies,garage,fiery,0.721,83.654,0.475,0.308,2.06e-05,0.711,0.335,0.0346
577,Love Shy (ARNXT016) [Armada Classic],Kristine Blond;James Hype,garage,excited,0.855,124.912,0.659,0.775,0.00886,1.24e-05,0.383,0.0873
578,Trouble’s Coming,Royal Blood,garage,excited,0.688,112.009,0.805,0.775,0.0533,0.0,0.321,0.0384
579,Honeybrains,Royal Blood,garage,energetic,0.8,125.886,0.604,0.523,0.00537,0.0,0.398,0.101
580,SE15,Mount Kimbie,garage,melancholy,0.499,82.008,0.395,0.449,0.77,0.821,0.0981,0.0342
581,In This State,Hockey Dad,garage,aggressive,0.928,162.08,0.354,0.308,0.00139,1.1e-05,0.232,0.0718
582,How You Like Me Now,The Heavy,garage,intense,0.71,110.059,0.268,0.647,0.000973,0.703,0.0777,0.029
583,The End Has No End,The Strokes,garage,energetic,0.66,136.027,0.533,0.531,0.000833,0.855,0.226,0.0335
584,Last 4th of July,White Reaper,garage,happy,0.902,154.889,0.782,0.333,7.3e-05,0.000792,0.143,0.0459
585,Make Me Feel Weeeird,Together Pangea,garage,fiery,0.707,175.442,0.39,0.415,0.289,0.0169,0.176,0.101
586,Pacific Rim (feat. Tom Morello),Ramin Djawadi;Tom Morello,german,energetic,0.695,86.013,0.538,0.559,0.199,0.901,0.11,0.0519
587,Space Melody (Edward Artemyev) (feat. Leony),VIZE;Alan Walker;Edward Artemyev;Leony,german,aggressive,0.759,127.966,0.24,0.898,0.227,0.00102,0.104,0.114
588,Schwarze Augen,Takt32,german,fiery,0.577,134.872,0.435,0.767,0.132,0.0,0.108,0.0835
589,House Music (feat. Arctic Lake) - Edit,Boris Brejcha;Arctic Lake,german,moody,0.35,125.002,0.334,0.818,0.000299,0.0103,0.124,0.0558
590,Wandering Albatross,Hans Zimmer;Adam Lukas;James Everingham,german,melancholy,0.249,141.952,0.0848,0.26,0.903,0.871,0.0695,0.0371
591,Afraid of Time,Hans Zimmer,german,melancholy,0.00336,119.949,0.0505,0.245,0.92,0.0234,0.119,0.0451
592,"Carnaval, Op. 9: No. 9, Papillons (Live in Japan, 2022)",Robert Schumann;Pavel Nersessian,german,peaceful,0.0623,76.249,0.649,0.294,0.995,0.869,0.116,0.0414
593,Velvet Morning 22 (ASOT 1090),Kyau & Albert,german,aggressive,0.946,125.487,0.0381,0.479,0.000548,0.261,0.136,0.0388
594,"The Well-Tempered Clavier, Book I, BWV 846-869: Prelude No. 1 in C Major, BWV 846",Johann Sebastian Bach;Pietro De Maria,german,melancholy,0.00299,140.353,0.0839,0.212,0.991,0.941,0.0643,0.0413
595,"Rome Is The Light - From ""Gladiator"" Soundtrack",Hans Zimmer;Lisa Gerrard;Gavin Greenaway;The Lyndhurst Orchestra,german,melancholy,0.34,119.053,0.0722,0.266,0.609,0.00438,0.11,0.0447
596,Wind of Change,Scorpions,german,intense,0.613,75.907,0.175,0.491,0.00511,0.0,0.107,0.0266
597,コラール「おお人よ、汝の大いなる罪を嘆け」BWV.622,Johann Sebastian Bach;石丸由佳,german,melancholy,0.0679,75.341,0.103,0.143,0.766,0.766,0.111,0.0429
598,"String Quartet No. 1 in A Minor, Op. 41 No. 1: II. Scherzo. Presto",Robert Schumann;Arioso Quartett Wien,german,peaceful,0.34,106.376,0.563,0.478,0.882,0.784,0.0678,0.0491
599,"The Well-Tempered Clavier: Book 2: Fugue in C Minor, BWV 871 (Arr. for String Quartet by Wolfgang Amadeus Mozart, KV 405)",Johann Sebastian Bach;Hagen Quartett,german,peaceful,0.0582,163.978,0.612,0.272,0.977,0.482,0.0826,0.0414
600,WORK IT,Jamule;FOURTY,german,aggressive,0.772,142.065,0.22,0.674,0.00777,2.93e-06,0.138,0.0397
601,Estou Seguro - Ao Vivo,Gabriela Rocha,gospel,intense,0.555,136.977,0.205,0.356,0.154,0.0,0.0996,0.0313
602,Cem Ovelhas,Ozéias de Paula,gospel,peaceful,0.404,87.407,0.571,0.487,0.844,0.0244,0.187,0.0254
603,Encontrei o Meu Lugar - Ao Vivo,Jhonas Serra;Gabriell Júnior,gospel,aggressive,0.784,131.957,0.288,0.423,0.111,0.00017,0.947,0.0533
604,Quebrantado Coração,Fernanda Brum,gospel,melancholy,0.351,109.95,0.134,0.63,0.661,9.29e-06,0.102,0.0368
605,5:50 AM (feat. André Freitas) - Ao Vivo,Resgate;André Freitas,gospel,intense,0.632,83.267,0.231,0.286,0.0892,1.43e-05,0.683,0.0547
606,Chuva de Sangue,Voz da Verdade,gospel,intense,0.702,75.096,0.212,0.322,0.511,0.00149,0.123,0.035
607,Nome Mais Doce,Casa Worship;Julliany Souza;MOVER,gospel,intense,0.509,133.595,0.139,0.354,0.156,9.46e-06,0.105,0.0366
608,Vai Mudar (feat. João Santana),Irmão Lázaro;João Santana,gospel,energetic,0.826,137.97,0.646,0.564,0.424,0.0,0.96,0.0363
609,Na Terra Como no Céu (Here as in Heaven) (feat. Weslei Santos),Gabi Sampaio;Weslei Santos,gospel,moody,0.446,138.666,0.141,0.328,0.118,0.0,0.109,0.0333
610,Te Peço Perdão,Marcos Antônio,gospel,melancholy,0.367,105.815,0.331,0.494,0.768,0.0,0.184,0.0289
611,O Amor Que Cura,Fernanda Brum,gospel,melancholy,0.362,100.194,0.183,0.647,0.687,0.0,0.111,0.0312
612,Tente Lembrar,Sérgio Lopes,gospel,moody,0.454,143.404,0.351,0.4,0.307,0.0,0.338,0.0279
613,Profetizo Vida,Nathália Braga,gospel,aggressive,0.812,155.897,0.284,0.418,0.278,0.0,0.0704,0.0378
614,Tu És a Fonte,Lorhann,gospel,intense,0.56,143.984,0.299,0.474,0.163,0.00917,0.126,0.0325
615,Breve Virá,Delino Marçal,gospel,fiery,0.7,135.944,0.454,0.492,0.04,0.0,0.171,0.0458
616,Facetime,Parham,goth,fiery,0.558,103.387,0.395,0.549,0.472,0.0,0.111,0.0676
617,Western Dream,New Model Army,goth,happy,0.783,149.967,0.7,0.394,0.0582,0.093,0.373,0.042
618,Amaranth,Nightwish,goth,aggressive,0.859,127.98,0.31,0.558,0.00469,0.00196,0.0831,0.0421
619,Bela Lugosi's Dead (Official Version),Bauhaus,goth,energetic,0.692,153.47,0.552,0.594,0.0131,0.678,0.0647,0.114
620,Like A Child Again - Remix,The Mission,goth,happy,0.918,134.034,0.72,0.498,0.0718,6.07e-06,0.163,0.0341
621,Äntligen på väg,Håkan Hellström,goth,fiery,0.523,94.074,0.394,0.285,0.497,0.597,0.238,0.0282
622,Rumour and Rapture,New Model Army,goth,energetic,0.782,114.945,0.553,0.473,0.00158,0.000318,0.111,0.0351
623,Hardened Heart,Broder Daniel,goth,aggressive,0.93,137.859,0.473,0.305,0.000114,0.0,0.248,0.0575
624,The Nexus,Amaranthe,goth,energetic,0.963,104.984,0.636,0.503,0.000121,0.0,0.0916,0.124
625,Ingenting,Slowgold,goth,moody,0.47,130.813,0.189,0.467,0.412,0.517,0.117,0.0352
626,The Raven King,Killing Joke,goth,intense,0.746,125.0,0.0774,0.384,0.00162,0.00181,0.137,0.0339
627,Every Angel,All About Eve,goth,fiery,0.695,145.66,0.489,0.469,0.0506,0.0,0.0806,0.0324
628,Live Life Loud,HammerFall,goth,aggressive,0.942,155.061,0.209,0.538,0.000324,0.000579,0.0501,0.0879
629,Christian Woman,Type O Negative,goth,intense,0.619,90.019,0.131,0.285,0.148,0.0243,0.22,0.04
630,Hide and Seek,Theatre Of Tragedy,goth,intense,0.736,104.024,0.133,0.605,0.00114,0.878,0.175,0.0325
631,Present Day,Vermin Womb,grindcore,aggressive,0.989,143.206,0.0323,0.187,1.11e-06,0.908,0.0791,0.235
632,Unbelievable,Anal Cunt,grindcore,aggressive,0.978,84.614,0.303,0.235,0.006,0.583,0.243,0.316
633,Seven Funerals,Despise You,grindcore,aggressive,0.979,140.341,0.171,0.21,1.63e-06,0.00126,0.84,0.184
634,Human,Human Remains,grindcore,aggressive,0.904,111.285,0.194,0.335,2.57e-05,0.142,0.282,0.22
635,Rat Race,Disfear,grindcore,aggressive,0.993,117.598,0.259,0.319,1.47e-06,0.151,0.405,0.136
636,"Can't Play, Won't Play",Napalm Death,grindcore,aggressive,0.998,108.243,0.0368,0.232,1.34e-05,0.0114,0.104,0.13
637,Nazi Punks Fuck Off,Napalm Death,grindcore,aggressive,0.977,95.847,0.316,0.261,0.000152,0.00165,0.0769,0.0886
638,Strangled with a Halo (Remix),Pig Destroyer,grindcore,aggressive,0.956,100.481,0.391,0.28,4.41e-06,0.000473,0.147,0.167
639,Succumb to the Pressure,disrupt,grindcore,happy,0.986,170.345,0.742,0.232,1.39e-05,0.00587,0.206,0.079
640,Fornicators,Capitalist Casualties,grindcore,aggressive,0.996,141.159,0.322,0.28,0.000157,0.0011,0.144,0.0977
641,Victims Of Tradition,disrupt,grindcore,aggressive,0.992,113.49,0.308,0.37,7.05e-06,4.54e-06,0.301,0.143
